school_name,course_id,course_name,instructor_name,enrollment_count,start_date,end_date,start_year,end_year
常熟理工学院,1470670184,古琴艺术与虞山琴派,王小龙,273,2024/3/1,2024/6/30,2024,2024
常熟理工学院,1470047164,面向对象程序设计C++,王颖,148,2023/10/11,2024/1/15,2023,2024
常熟理工学院,1468797164,经典阅读,肖虹,180,2024/3/2,2024/6/30,2024,2024
常熟理工学院,1449631171,安全管理学,李爱英,758,2023/4/25,2023/8/31,2023,2023
常熟理工学院,1468645164,工程制图及CAD,赵志平,1515,2024/2/27,2024/6/30,2024,2024
常熟理工学院,1449635169,电机与拖动-铜与铁的艺术,张水平,211,2022/2/21,2022/10/25,2022,2022
常熟理工学院,1465872173,电路分析基础（Electrical Circuit Principles）,华斯亮,26,2024/2/26,2024/6/30,2024,2024
常熟理工学院,1449643174,软件测试与质量保证,董瑞志,140,2024/3/1,2024/6/30,2024,2024
常熟理工学院,1464633166,数据库原理与应用,夏瑜,122,2024/2/26,2024/6/30,2024,2024
常熟理工学院,1449607169,材料性能,周雪峰,176,2021/8/30,2021/12/12,2021,2021
常熟理工学院,1464528184,写作与表达,肖虹,3075,2024/2/25,2024/6/28,2024,2024
常熟理工学院,1449635168,模拟电子技术,浦炜,180,2023/9/4,2024/1/14,2023,2024
常熟理工学院,1462107180,移动应用程序开发,应文豪,237,2024/2/26,2024/6/30,2024,2024
常熟理工学院,1449634162,PLC控制技术理论与实践,许仙珍,463,2024/2/25,2024/6/30,2024,2024
常熟理工学院,1462090170,生物医药企业EHS管理,杨志刚,331,2023/9/8,2024/1/30,2023,2024
常熟理工学院,1449650169,半导体物理与器件,洪学,433,2024/2/29,2024/5/30,2024,2024
常熟理工学院,1462124166,现代控制理论,张玲忠,213,2024/2/27,2024/6/10,2024,2024
常熟理工学院,1449626168,太阳能电池测试及标准,张静,606,2023/9/6,2023/12/31,2023,2023
常熟理工学院,1462117166,安全人机工程及实验,姚嘉杰,215,2024/2/26,2024/6/30,2024,2024
常熟理工学院,1449632170,机械设计基础,王超,189,2022/9/15,2022/11/15,2022,2022
常熟理工学院,1462095169,幼儿教育心理学,华红艳,1154,2023/2/27,2023/6/26,2023,2023
常熟理工学院,1449649163,数据结构与算法,周思林,655,2024/2/26,2024/7/7,2024,2024
常熟理工学院,1462095168,EPLAN电气设计技术,施健,771,2024/2/26,2024/7/1,2024,2024
常熟理工学院,1001754117,电路,孟翔飞,525,2024/3/4,2024/6/23,2024,2024
常熟理工学院,1462096164,中级财务会计,吴敏艳,194,2024/2/22,2024/7/1,2024,2024
常熟理工学院,1001755165,高等数学A（1）,张树来,421,2024/1/29,2024/6/30,2024,2024
常熟理工学院,1462061164,英语语法,钱轶群,1234,2024/2/22,2024/6/30,2024,2024
常熟理工学院,1001753006,薄膜太阳能电池,侯海虹,264,2024/2/27,2024/5/31,2024,2024
常熟理工学院,1461622166,高等数学A（2）,张树来,548,2024/1/29,2024/6/30,2024,2024
常熟理工学院,1461515182,劳动教育,蔡瑞林,3200,2024/2/22,2024/7/3,2024,2024
常熟理工学院,1461028177,现场急救,陈梦玲,4431,2023/9/11,2023/12/31,2023,2023
常熟理工学院,1460915184,电梯选型设计,刘军军,256,2020/9/22,2020/12/31,2020,2020
常熟理工学院,1454017187,财务管理,田林,243,2022/10/14,2023/7/20,2022,2023
江苏科技大学,1206794818,机械设计,朱永梅,735,2024/2/23,2024/7/7,2024,2024
江苏科技大学,1468786186,职业生涯发展规划及就业指导—意识、认知、决策、行动,梅亮,555,2024/2/28,2024/7/15,2024,2024
江苏科技大学,1206805816,船舶辅机,王军,477,2022/2/20,2023/12/12,2022,2023
江苏科技大学,1468555173,植物学,王娜,563,2023/9/4,2024/1/28,2023,2024
江苏科技大学,1206807819,焊接方法与设备,"黎文航	",3446,2022/2/18,2022/7/20,2022,2022
江苏科技大学,1468561171,电气与PLC技术,周瑜,2174,2024/1/22,2024/6/30,2024,2024
江苏科技大学,1206791816,电工电子技术,许琳莉,233,2024/2/28,2024/7/30,2024,2024
江苏科技大学,1466329162,工程图学,吴巨龙,503,2022/8/29,2022/12/31,2022,2022
江苏科技大学,1206799814,生命科学导论,牟会荣,381,2023/9/12,2024/1/15,2023,2024
江苏科技大学,1465865171,游船游艇创意设计,刘李明,101,2021/12/31,2022/10/12,2021,2022
江苏科技大学,1206791815,钢结构设计原理,王治均,1246,2024/2/26,2024/6/30,2024,2024
江苏科技大学,1465766166,热工基础与流体力学,王筱蓉,294,2024/3/1,2024/6/30,2024,2024
江苏科技大学,1206796811,大学物理-1,戴俊,3547,2024/3/11,2024/7/11,2024,2024
江苏科技大学,1465772162,机械设计课程设计,樊玉杰,203,2024/3/6,2024/7/5,2024,2024
江苏科技大学,1206794814,蚕丝智慧与农桑文化,李木旺,225,2024/3/18,2024/7/1,2024,2024
江苏科技大学,1463784164,环境保护与可持续发展,王新刚,461,2023/10/19,2024/2/26,2023,2024
